,city,state,state_name,males,females,lat,lng
0,Abbeville,LA,Louisiana ,3,0,29.9746502,-92.1342921
1,Algiers,LA,Louisiana ,2,0,29.9510514,-90.0810887765191
2,Ascension Parish,LA,Louisiana ,1,0,30.20465845,-90.88963010654159
3,Baker,LA,Louisiana ,1,0,30.5882429,-91.168163
4,Baton Rouge,LA,Louisiana ,46,8,30.4507462,-91.154551
5,Bayou Vista,LA,Louisiana ,1,1,30.2813059,-89.8175651
6,Bossier City,LA,Louisiana ,3,2,32.5064115,-93.65183813047341
7,Bossier City ,LA,Louisiana ,1,0,32.5064115,-93.65183813047341
8,Caddo Parish,LA,Louisiana ,1,0,32.60755,-93.90238917826521
9,Calcasieu Parish,LA,Louisiana ,1,0,30.26537195,-93.3691697243836
10,Carencro,LA,Louisiana ,2,0,30.317144,-92.0490096
11,Chalmette,LA,Louisiana ,1,0,29.9427037,-89.9634017
12,Charenton,LA,Louisiana ,2,0,29.8815936,-91.5251127
13,Covington,LA,Louisiana ,4,1,30.4754702,-90.1009108
14,Creston,LA,Louisiana ,1,0,31.9759941,-93.049884
15,DeRidder,LA,Louisiana ,1,0,30.8463055,-93.2890528
16,Denham Springs,LA,Louisiana ,2,0,30.4868564,-90.9562125
17,Donaldsonville,LA,Louisiana ,2,0,30.1010324,-90.9928774
18,Duson,LA,Louisiana ,1,0,30.2357577,-92.1854035
19,East Baton Rouge,LA,Louisiana ,1,0,30.4143987,-91.1774318
20,Ebarb,LA,Louisiana ,1,0,31.635777,-93.648603
21,Edgard,LA,Louisiana ,1,0,30.0432578,-90.5600869
22,Ferriday,LA,Louisiana ,1,0,31.6301664,-91.5545649
23,Garyville,LA,Louisiana ,1,0,30.056035,-90.6192554
24,Geismar,LA,Louisiana ,1,0,30.2043633,-91.0226013
25,Gentilly,LA,Louisiana ,4,0,30.0156248,-90.0518356
26,Gonzales,LA,Louisiana ,1,0,30.2385294,-90.9200987
27,Harahan,LA,Louisiana ,1,0,29.9404826,-90.2031313
28,Harvey,LA,Louisiana ,14,0,29.9035387,-90.0772944
29,Houma,LA,Louisiana ,9,1,29.5957696,-90.7195348
30,Jamestown,LA,Louisiana ,1,0,32.3440452,-93.2118341
31,Jeanerette,LA,Louisiana ,1,0,29.9110378,-91.6634484
32,Jena,LA,Louisiana ,1,0,31.6832271,-92.1337448
33,Kenner,LA,Louisiana ,7,0,29.9940924,-90.2417434
34,Krotz Springs,LA,Louisiana ,1,0,30.5368592,-91.7528931
